"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge","ageCtrlN","ageCtrlMax","ageCtrlMedian"
"634","RuppertLake.Higuera.2006","lcRITy31dNFpYMrrFH7",-154.245,67.0708,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",180,12000,11820,70,70,"Annual","P","Legacy Climate v1.0","positive",264.5,273.2,258.857,225.544,226.183,3420,10650,15,2290,525
"635","Rusaka.Bonnefille.2000","WEBa1c23512",29.62,-3.43,"SEAF","Peat","pollen","Pollen","Pollen (Calibrated)",789.5,9943.5,9154,70,70,"Annual","P","Other","positive",1419.5,1486,1464,1434.667,1433.353,869.5,804.5,7,3119,420
"636","Rusaka.Bonnefille.2000","WEB8ffcaee7",29.62,-3.43,"SEAF","Peat","pollen","Pollen","Pollen (Calibrated)",759.5,12000,11240.5,92.5,95,"Annual","P","Other","positive",1357.4,1494.6,1439.4,1505,1560.2,7703.5,864.5,NA,NA,NA
"637","Russell.Hubbs.1965","OLS_R28mFojQksk",-118.77,38.05,"WNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3470,"Annual","P-E","Oxford Lake Level Database","negative",3,2,3,3,3,7306,5138.75,NA,NA,NA
"638","Rutz.Waddington.1969","OLS_RAcSotekegB",-93.87,44.87,"CNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3507.5,"Annual","P-E","Oxford Lake Level Database","negative",2,2,3,2,2,5270.21428571429,6276.83333333333,NA,NA,NA
"639","RutzLake.Stuiver.1975","lcRWHzMmVYYcDf6K32p",-93.859,44.8708,"CNA","Lake","pollen","Pollen","Pollen (Calibrated)",50,11690,11640,160,160,"Annual","P","Legacy Climate v1.0","positive",738.373,682.85,681.65,697.1,712.8,290,7050,7,3130,1670
"640","RyderPondCapeCodMassachusetts.Winkler.1995","pdRtkSoE1Q93x2JFV5i",-70.031,41.967,"ENA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,11600,11600,500,794.5,"Annual","P-E","Liefert and Shuman, 2020","positive",2,1,1,NA,NA,2222.25,4911.375,NA,NA,NA
"641","RyerseLake.author.1111","lcRiq1prtqFDpKinLF2",-85.1792,46.1319,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",20,10010,9990,350,350,"Annual","P","Legacy Climate v1.0","positive",990.167,917.567,835.9,765.2,722.3,900,10010,6,2690,1650
"642","Rystad.Vorren.2012","LPDfc71e6bc",13.7839,68.2389,"NEU","Peat","humification","Other","Other (Not Calibrated)",175,8508,8333,25,26,"Annual","P-E","Arctic Holocene","negative",25.485,31.625,63.875,62.433,NA,3420,7549,NA,NA,NA
"643","SaCurcurica.Beffa.2016","lcRoGFzRew9WTAEknaI",9.7875,40.4555,"MED","Lake","pollen","Pollen","Pollen (Calibrated)",0,8310,8310,80,80,"Annual","P","Legacy Climate v1.0","positive",674.82,820.737,948.731,1112.135,NA,8090,1120,9,1880,755
"644","Sahiyacave.Sinha.2015","S2LRuTFfyRE5aJ",77.8667,30.6,"TIB","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,5706.11,5706.11,1.21000000000004,1.23999999999978,"Summer","P","SISALv2","negative",-8.959,-9.5,-9.421,NA,NA,4525.52,345.74,68,421.27548736,55.968500085
"645","Saksunarvatn.Johansen.1982","lcREQ7puIGiJ4dGVajz",-7.1578,62.2411,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",0,8880,8880,185,180,"Annual","P","Legacy Climate v1.0","positive",1369.02,1294.725,1211.967,1113.26,NA,800,8640,16,1440,390
"646","SaladaPequena.author.1111","lcRNeTKafVV1Glibo2e",-0.2167,41.0333,"MED","Lake","pollen","Pollen","Pollen (Calibrated)",0,4700,4700,100,100,"Annual","P","Legacy Climate v1.0","positive",392.329,400.58,NA,NA,NA,1470,230,3,1900,1115
"647","SalardeUyuni.Baker.2001","WEBb3112945",-67.5,-20.25,"SWS","Borehole","gamma","Other","Other (Not Calibrated)",0,12000,12000,195.86,195.86,"Annual","P-E","Other","positive",10.9,7.8,11,13,18.2,11962.2,0,NA,NA,NA
"648","SalmoLake.Edwards.2015","lcRti96IuQQTbmLrU3C",-133.5616,60.4455,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",0,11430,11430,270,270,"Annual","P","Legacy Climate v1.0","positive",454.8,329.66,316.54,327.4,274.6,670,10410,6,2840,1650
"649","Sanbaocave.Dong.2010","S2LRvmcMc9Rkdw",110.4333,31.667,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",70.27272727,12000,11929.72727273,25.5238095,25.5238090000003,"Summer","P","SISALv2","negative",-8.582,-9.585,-10.184,-10.373,-10.301,6867.5,11856.84615,NA,NA,NA
"650","Sandvikvatn.Paus.1982","lcRUiZGHarjNxAiW1nX",5.4936,59.2839,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",1320,10950,9630,195,190,"Annual","P","Legacy Climate v1.0","positive",NA,720.533,733.4,885.4,929.85,8820,3610,10,2810,1005
"651","SanJoaquinMarsh.Davis.1992","lcR3h58B1xMNHkPYwiY",-117.8583,33.6583,"NCA","Peat","pollen","Pollen","Pollen (Calibrated)",0,8760,8760,150,150,"Annual","P","Legacy Climate v1.0","positive",359.064,451.6,484.512,418.325,NA,4870,1770,7,3470,910
"652","SchellingsBog.Barron.2004","WEBfde0ea8e",-123.36,40.28,"WNA","LakeSediment","pollen","Pollen","Pollen (Not Calibrated)",0,4780,4780,50,50,"Annual","P-E","Other","positive",24.933,2.632,NA,NA,NA,430,3976.25,4,2430,780
"653","SchellingsBog.Barron.2004","WEB62272ffc",-123.36,40.28,"WNA","LakeSediment","pollen","Pollen","Pollen (Not Calibrated)",0,4780,4780,50,50,"Annual","P-E","Other","positive",15.467,24.053,NA,NA,NA,4370,320,4,2430,780
"654","SchoodicPeninsulaHollow.Schauffler.1998","lcRKhWUhucbIA6KVzZ9",-68.0726,44.3733,"ENA","Cave","pollen","Pollen","Pollen (Calibrated)",150,8150,8000,170,180,"Annual","P","Legacy Climate v1.0","positive",1090.43,1083.317,1005.55,974.133,NA,340,8150,5,3340,590
"655","Searles.Stuiver.1964","OLS_RfD6MNlONoM",-117.7,35.6,"WNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,4125,"Annual","P-E","Oxford Lake Level Database","negative",3,2,2,3,3,5080.16666666667,5783.07142857143,NA,NA,NA
"656","SecretValleyMarsh.West.2000","lcRVjgMr8niCWzlOTrs",-120.2651,40.572,"WNA","Marsh","pollen","Pollen","Pollen (Calibrated)",0,11070,11070,260,250,"Annual","P","Legacy Climate v1.0","positive",494.375,489.2,492.95,477.733,469.25,530,9760,4,2850,2360
"657","Selima.Haynes.1979","OLS_R1vmDg2WuOy",29.34,21.32,"SAH","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,4825,"Annual","P-E","Oxford Lake Level Database","negative",3,2,2,1,1,9540.16666666667,1490.83333333333,NA,NA,NA
"658","SelinCo.Sun.1993","WEBdd4fa361",89.14,31.65,"TIB","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,11990,11990,50,50,"Annual","P","Other","positive",510.882,501.344,457.933,399.462,438.126,1240,11940,NA,NA,NA
"659","Selitkan1Exposure.Anderson.2002","lcRKWdAzk5gaaCCDOMh",135.05,53.2167,"RFE","Peat","pollen","Pollen","Pollen (Calibrated)",0,7870,7870,60,60,"Annual","P","Legacy Climate v1.0","positive",457.929,470.067,493.64,493.75,NA,7220,30,6,2530,1030
"660","Sellevollmyra.Vorren.2007","LPD4777044b",15.9417,69.1083,"NEU","Peat","humification","Other","Other (Not Calibrated)",455,6852,6397,36,36,"Annual","P-E","Arctic Holocene","negative",24.757,25.276,30.838,NA,NA,3944.27777777778,5477,21,1250,195
"661","SevenLakes.Calder.2016","lcRlQnhC5noD5c3isF7",-106.6822,40.8961,"WNA","Lake","pollen","Pollen","Pollen (Calibrated)",50,4200,4150,130,130,"Annual","P","Legacy Climate v1.0","positive",425.55,454.9,NA,NA,NA,3990,700,5,1130,730
"662","SharkeyLake.Camill.2003","lcR5SRLpHOGiAs4Q4SW",-93.4132,44.5924,"CNA","Lake","pollen","Pollen","Pollen (Calibrated)",810,12000,11190,20,20,"Annual","P","Legacy Climate v1.0","positive",744.271,722.461,710.65,738.568,821.2,10780,7330,11,1980,1070
"663","Shatucacave.Bustamante.2016","S2LRFanjoqsyzm",-77.9,-5.7,"NWS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,10601.86,10601.86,3.97000000000025,3.97000000000025,"Summer","P","SISALv2","negative",-5.851,-6.063,-5.55,-5.274,-4.313,1494.46,10119.2,30,1416,246.5
"664","Shigaocave.Jiang.2012","S2LRZPZvtczPu8",107.167,28.183,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,9864.21433939,9864.21433939,17.9392567149998,18.02290275,"Summer","P","SISALv2","negative",-7.25,-8.413,-9.187,-9.384,-9.489,9632.90876424,884.389326059,11,1575,833
"665","Shizi.Yang.2019","WEBd4e40e14",107.2881,29.6822,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",20,9270,9250,30,30,"Summer","P","Other","negative",-8.212,-9.169,-10.188,-10.423,NA,8790,30,NA,NA,NA
"666","Shkodra.Zanchetta.2012","WEB53be5f2c",19.32,42.17,"MED","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,4498,4498,26,26,"Annual","P","Other","negative",-7.242,-7.653,NA,NA,NA,4342,3291,7,1455,380
"667","SidiAli.Zielhofer.2019","WEB-fc8d9-7b8f-44c7-b4cb-5a4a1",-5.0034,33.0726,"MED","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,11958,11958,58,58.5,"Winter","P","Other","negative",5.603,5.615,4.494,4.694,3.942,11870,2017,33,1437,164.5
"668","SihailongwanMaar.Stebich.2015","LPD6fdee25b",126.6,42.28,"EAS","LakeSediment","pollen","Pollen","Pollen (Calibrated)",150,11992,11842,61,61,"Annual","P","Other","positive",733.448,891.642,800.461,681.103,596.524,4120,11901,28,1128,315
"669","SilverLake.Kirby.2015","WEB6e4417db",-116.135,35.3669,"WNA","LakeSediment","particle size","Shoreline","Shoreline (Lake Level)",1521.2,12000,10478.8,39.3999999999996,39.3999999999996,"Annual","P-E","Other","positive",NA,37.592,26.324,50.336,65.595,10637.9,4294.1,6,2570,1490
"670","SilverLake.Kirby.2015","WEB696efa25",-116.135,35.3669,"WNA","LakeSediment","C/N","Other","Other (Not Calibrated)",1929.1,12000,10070.9,39.2000000000007,39.3999999999996,"Annual","P-E","Other","negative",NA,10.207,11.894,4.02,5.327,7440.9,3344.2,6,2570,1490
"671","SilverLakeLakeMohave.Wells.2003","pdR0bHPwOODs54avzaw",-116.11,35.34,"WNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,12000,12000,31,36,"Annual","P-E","Liefert and Shuman, 2020","positive",276.788,276.083,NA,NA,274.666,11183.9583333333,10963,NA,NA,NA
"672","SimplonGampischAlterSpittel.vanderKnaap.1997","lcRnhx0TV2RqvrweSW7",8.0114,46.2311,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",0,11600,11600,155,150,"Annual","P","Legacy Climate v1.0","positive",1050.5,1061.483,1093.825,1086.725,904.417,4820,10750,12,2690,1040
"673","SkalaMarioncave.Psomiadis.2018","S2LR6gyBxnVNNh",24.5144,40.6387,"MED","Speleothem","d18O","Speleothem","Speleothem (δ18O)",1481.4,5533.9,4052.5,15.2,15.1999999999998,"Annual","P","SISALv2","negative",NA,-5.583,-5.982,NA,NA,2683.6,3885.4,6,877.9,151.1
"674","SO188_342.ContrerasRosales.2014","WEB1afc8afc",90.0339,19.9734,"SAS","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,12000,12000,244,244,"Summer","P","Other","negative",-158.288,-159.483,-161.402,-165.887,-159.568,8400,11460,6,3724,1598
"675","SO189_144KL.Mohtadi.2014","WEBecd5f91f",98.066,1.155,"SEA","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",140,12000,11860,150,150,"Annual","P","Other","negative",-157.767,-163.95,-160.225,-169.5,-166.843,1330,5610,18,2240,280
"676","SO189-119KL.Mohtadi.2014","LPD1d1e6750",96.3167,3.5167,"SEA","MarineSediment","d18O","Other","Other (Not Calibrated)",60,12000,11940,290,290,"Annual","P-E","Other","negative",0.353,0.09,0.132,0.23,0.175,2660,640,6,3590,1710
"677","SO189-39KL.Mohtadi.2014","LPD1756fdf4",99.9,-0.7833,"SEA","MarineSediment","d18O","Other","Other (Not Calibrated)",410,12000,11590,50,50,"Annual","P-E","Other","negative",0.177,0.073,0.153,0.065,0.097,9490,11650,31,870,325
"678","Sonk11D.Lauterbach.2014","LPD343ffe05",75.1961,41.7939,"ECA","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,5988.8,5988.8,62.0999999999999,62.95,"Summer","P-E","Other","negative",-186.242,-163.606,-200.926,NA,NA,5166.8,4612.5,NA,NA,NA
"679","Soreqcave.Orland.2009","S2LR8DePB64lKW",35.0226,31.7558,"MED","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,12000,12000,30,30,"Annual","P","SISALv2","negative",-5.371,-5.444,-5.806,-6.151,-6.027,7580,11890,7,10210,171.5
"680","SouthRhodyBog.Booth.2012","GH277c77ee",-86.07,46.56,"ENA","Peat","amoeba","Other","Other (Not Calibrated)",0,5158.2,5158.2,26.3500000000004,26.4000000000005,"Summer","P-E","Other","negative",9.213,9.533,NA,NA,NA,3714.85,181.65,10,3340,690
"681","SouthRhodypeatland.Booth.2004","lcRwZudUZlMj01vQXF2",-86.0752,46.5658,"ENA","Peat","pollen","Pollen","Pollen (Calibrated)",0,10450,10450,80,80,"Annual","P","Legacy Climate v1.0","positive",1024.928,818.011,815.325,764.4,731.633,830,6840,10,3600,760
"682","SPC14.Kahle.2021","WEB5a8bf9f7",98.1596,-89.9889,"EAN","GlacierIce","ice accumulation","Glacier Ice","Glacier Ice (Accumulation)",0,12000,12000,100,100,"Annual","P","Other","positive",80.64,85.47,79.86,78.11,73.14,1783.1385,9883.1385,NA,NA,NA
"683","SpicerLake.Wang.2016","lcRwnVuzjxKgcJQwS8I",-86.5221,41.7574,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,90,90,"Annual","P","Legacy Climate v1.0","positive",936.7,1018.93,1065.4,952.78,924.117,5790,11700,8,3670,860
"684","SpiritLake.Woods.1989","lcR1KT6GyUTH14Ybu8w",-86.9583,46.47,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,195,190,"Annual","P","Legacy Climate v1.0","positive",972.746,925.525,909.95,789.05,732.2,1110,9770,6,2990,2020
"685","Spitzkoppe.Chase.2009","WEB29d9f1fb",15.1955,-21.8317,"WSAF","Midden","d15N","Other","Other (Not Calibrated)",0,11724,11724,52,51.5,"Annual","P-E","Other","negative",11.302,10.485,10.301,8.617,9.128,7706,2762,NA,NA,NA
"686","SprucePond.MaenzaGmelch.1997","lcRgKkHN0CyyYoGbYOA",-74.1833,41.2369,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",60,12000,11940,70,70,"Annual","P","Legacy Climate v1.0","positive",1080.5,1069.15,1053.445,1011.805,927.39,1250,10240,8,2450,1580
"687","StagesPond.Snyder.1991","lcRzbcPN2Y2gyo9iwZ9",-82.9375,39.6681,"ENA","Lake","pollen","Pollen","Pollen (Calibrated)",90,4270,4180,80,80,"Annual","P","Legacy Climate v1.0","positive",974.047,992.3,NA,NA,NA,270,110,4,2340,520
"688","StaroselskyMoch.Novenko.2009","lcRaesu0dd88X29ftJX",32.0275,56.2853,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,180,180,"Annual","P","Legacy Climate v1.0","positive",648.767,714.2,666,622.15,558.75,3700,8740,6,2540,1770
"689","Steerenmoos.Rosch.2000","lcR6T9nRWTcVYluBUZX",8.2002,47.8057,"WCE","Bog","pollen","Pollen","Pollen (Calibrated)",0,8820,8820,30,30,"Annual","P","Legacy Climate v1.0","positive",1189.625,1481.441,1389.639,863.625,NA,5450,8700,18,2410,600
"690","StewartBog.JimenezMoreno.2008","lcR5PWLII1WSTWJrKGG",-105.722,35.832,"WNA","Bog","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,50,50,"Annual","P","Legacy Climate v1.0","positive",499.797,502.979,525.341,510.67,490.333,10,11910,11,3070,615
"691","Stomyren..2008","GH5fffab58",13.4667,60.2083,"NEU","Peat","humification","Other","Other (Not Calibrated)",21.6,7961.419,7939.819,59.8400000000001,59.8399999999999,"Annual","P-E","Arctic Holocene","negative",-0.094,0.127,-0.309,1.088,NA,2931.5,7739.095,NA,NA,NA
"692","Storsandvatnet.Birks.2012","lcRsxQJCal75WkUpl5m",8.4544,63.4575,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,155,150,"Annual","P","Legacy Climate v1.0","positive",818.975,716.875,679.878,637.757,789.767,11450,8810,8,3500,830
"693","Straldzhamire.Connor.2013","lcR0aDYyLrxCMKEkXI7",26.7801,42.6305,"MED","Peat","pollen","Pollen","Pollen (Calibrated)",3930,11950,8020,245,240,"Annual","P","Legacy Climate v1.0","positive",NA,622.133,632.9,626,599.173,8530,11950,6,3270,830
"694","Straldzhamire.Tonkov.2009Legacy","lcRyf5ECfdUuscy1RT4",26.7801,42.6305,"MED","Peat","pollen","Pollen","Pollen (Calibrated)",0,4360,4360,150,150,"Annual","P","Legacy Climate v1.0","positive",588.375,542.986,NA,NA,NA,160,3220,3,2420,320
"695","Styggtjarnen.Giesecke.2005","lcR4l0L8xuHdTs39hQR",13.5579,62.3243,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",0,9220,9220,110,105,"Annual","P","Legacy Climate v1.0","positive",612.1,592.219,584.575,597.775,NA,1360,6320,6,3380,1090
"696","SudobleLake.Elovicheva.1985Legacy","lcRYR1SVCS4M1mdG6Hg",28.1,54.0333,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",170,12000,11830,260,265,"Annual","P","Legacy Climate v1.0","positive",614.533,628.2,624.833,599.1,558.867,4380,11750,6,2710,1750
"697","SumxiCo.Leipe.2014","GH97df1e73",80.27,34.623,"TIB","LakeSediment","pollen","Pollen","Pollen (Not Calibrated)",0,12000,12000,125,125,"Annual","P-E","Other","positive",1.829,1.111,3.408,4.3,3.337,9850,10500,NA,NA,NA
"698","Svartvatnet.Birks.2012","lcRKJqcToTVwvmD59ym",8.8778,63.3514,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,190,190,"Annual","P","Legacy Climate v1.0","positive",689.062,604.86,774.22,692.2,782.367,11010,4020,10,1820,1010
"699","SvatoboriceMistrin.Svobodova.1989","lcRyY8us0XnFvl0iGrN",17.0693,48.9439,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",0,8200,8200,170,165,"Annual","P","Legacy Climate v1.0","positive",819.217,753.94,740.9,787.075,NA,90,4380,5,2210,1370
"700","SvenceleBog.author.1111","lcRaRjP3JKMmyWbjhW3",21.2922,55.4953,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",1230,8620,7390,140,140,"Annual","P","Legacy Climate v1.0","positive",NA,702.86,701.817,565.775,NA,2390,8400,4,2290,1530
"701","SwallowLagoon.Barr.2019","WEB-c74a1-de1f-477c-becc-15b90",153.4547,-27.4986,"EAU","LakeSediment","d13Cwax","Other","Other (Calibrated)",0,7693,7693,22,22,"Annual","P","Other","positive",1740.951,1829.354,1789.421,1918.767,NA,2984,455,18,1326,379
"702","SwampbuggyLake.Rohr.2001","lcRRMCoTqUxIBPKGqtp",-147.4207,63.0545,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",0,8110,8110,220,215,"Annual","P","Legacy Climate v1.0","positive",271.033,277.55,272.825,273.233,NA,3120,7240,10,1300,630
"703","SwanLake.Schmieder.2011","LPD1498ea89",-99.03,42.16,"CNA","LakeSediment","mineral","Other","Other (Not Calibrated)",139.4,8429.3,8289.9,51.4849999999997,51.4899999999998,"Annual","P-E","Other","positive",0.246,0.145,0.232,0.46,NA,8326.296,1597.182,NA,NA,NA
"704","SwanLake.Schmieder.2011","LPD03892251",-99.03,42.16,"CNA","LakeSediment","diatom","Shoreline","Shoreline (Lake Level)",46,8429.3,8383.3,51.4874999999997,51.4849999999997,"Annual","P-E","Other","negative",1.782,1.525,1.817,1.913,NA,4153.09,4134.1685,NA,NA,NA
"705","TaguaTagua.Montane.1968","OLS_ROVfSZGskJH",-71.17,-34.5,"SWS","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2069,"Annual","P-E","Oxford Lake Level Database","negative",3,3,3,2,3,4917.5,6008.66666666667,NA,NA,NA
"706","Takahula.Clegg.2010","GH2f86466e",-153.6667,67.35,"NWN","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,8132,8132,59,59,"Annual","P-E","Other","negative",-20.198,-17.988,-21.272,-20.395,NA,294,4113,9,1335,780
"707","TalismanCave.Tan.2021","WEBcbb13563",72.35,40.39,"WCA","Speleothem","PCA","Speleothem","Speleothem (Other)",3002,7763,4761,3,3,"Winter","P","Other","negative",NA,0.167,-0.101,-1.317,NA,6464,5282,33,697,199.5
"708","Tamborilcave.Wortham.2017","S2LR9MB33afoO5",-47,-16,"NES","Speleothem","d18O","Speleothem","Speleothem (δ18O)",941.0199,9981.4934,9040.4735,12.6072999999997,12.60725,"Summer","P","SISALv2","negative",-6.233,-6.221,-6.64,-6.977,-7.768,8914.037,1371.2829,12,1887,292
"709","TanaLake.Loomis.2015","WEBf652d8e7",37.3,12,"NEAF","LakeSediment","Ti","Other","Other (Not Calibrated)",12.95680231,10000.32399,9987.36718769,0.28238999999985,0.28238999999985,"Annual","P-E","Other","positive",7.747,8.014,9.182,9.027,10.196,9621.90891,490.0597003,12,2867.04319769,767.838005
"710","Tanganyika.Hecky.1973","OLS_RvTeu3ziD24",28.53,-6.03,"SEAF","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,5665,"Annual","P-E","Oxford Lake Level Database","negative",2,2,1,1,1,8460.5,2683.9,NA,NA,NA
"711","Tanganyika.Tierney.2008","WEBfc31e088",29.83,-6.72,"SEAF","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",1405,12000,10595,151,151,"Summer","P","Other","negative",NA,-7,-37,-39.886,-40.575,10609,4582,11,1709,721
"712","TangleLakes.Ager.1981","lcR4bKnn7hrqLKgZGr3",-146.0633,63.0294,"NWN","Lake","pollen","Pollen","Pollen (Calibrated)",130,5490,5360,170,170,"Annual","P","Legacy Climate v1.0","positive",227.275,221.65,NA,NA,NA,1770,4890,2,2890,2190
"713","TaulZanogutii.Farcas.1999","lcRLTwUkmqSqLkVpHAA",22.8035,45.3341,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",90,12000,11910,70,70,"Annual","P","Legacy Climate v1.0","positive",791.192,NA,757.95,788.183,736.833,2400,11760,10,3130,990
"714","TaylorLake.Long.2002","lcRdS5DDFcpoNkFmck3",-123.9067,46.1006,"WNA","Lake","pollen","Pollen","Pollen (Calibrated)",0,4700,4700,140,140,"Annual","P","Legacy Climate v1.0","positive",1907.117,1906.143,NA,NA,NA,60,2460,5,1490,890
"715","Tayma.Neugebauer.2022","WEB-8358f-5546-4fa4-9716-b98f3",38.55,27.63,"ARP","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",4219,9221,5002,11,11,"Annual","P-E","Other","negative",NA,12.658,11.305,8.15,NA,8261,4749,NA,NA,NA
"716","Telmen.Chen.2008","GH16221a19",97.33,48.83,"ESB","LakeSediment","hybrid","Other","Other (Not Calibrated)",0,11000,11000,50,500,"Annual","P-E","Mid-Latitude Holocene","positive",3.429,2.952,2.571,1.952,1,1730.55555555556,9278.81355932203,NA,NA,NA
"717","TeReingacave.Lorrey.2008","S2LRMfVuvM6F9K",177.52,-38.82,"NZ","Speleothem","d13C","Speleothem","Speleothem (δ13C)",173.0659,9278.7155,9105.6496,14.8859,14.5999999999999,"Annual","P-E","SISALv2","negative",-8.377,-5.677,-3.93,-7.282,NA,853.5417,5326.9326,7,2784,820
"718","TermitOuestKandelBouzou.Faure.1963","OLS_RmpO87FXnN9",11.25,16.08,"SAH","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,1200,"Annual","P-E","Oxford Lake Level Database","negative",3,3,2,1,2,8835.16666666667,2683.9,NA,NA,NA
"719","TiagoLake.Jimenez-Moreno.2011","WEBe350f165",-106.6128,40.5803,"WNA","LakeSediment","pollen","Pollen","Pollen (Not Calibrated)",36,12000,11964,44,50,"Winter","P-E","Other","positive",1.222,0.491,0.222,0.221,0.121,162,9134.64754098361,14,1980,705
"720","TianchiLake.Sun.2011","lcRdGds9oOLVuJWyouN",106.3088,35.2647,"EAS","Lake","pollen","Pollen","Pollen (Calibrated)",0,5930,5930,80,80,"Annual","P","Legacy Climate v1.0","positive",499.621,583.485,603.957,NA,NA,3370,720,19,730,265
"721","Tianmen.Cai.2010","S2LR5DxjLd46Qb",90.0667,30.9167,"TIB","Speleothem","d18O","Speleothem","Speleothem (δ18O)",4147.8,9045.3,4897.5,5.09999999999854,5.09999999999854,"Summer","P","SISALv2","negative",NA,-16.848,-18.28,-19.621,NA,8638.6,4153.5,10,700,475.299999999999
"722","Tiavatnet.Birks.2012","lcR5yi0K8vaJ1pDMGjM",9.4169,63.0597,"NEU","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,120,110,"Annual","P","Legacy Climate v1.0","positive",817.75,722.742,677.571,661.667,777.2,11150,6660,8,2670,1280
"723","TiogaPassPond.Anderson.1987","lcR87uwkt1JVsPUAXqa",-119.2583,37.9083,"WNA","Lake","pollen","Pollen","Pollen (Calibrated)",0,10490,10490,290,290,"Annual","P","Legacy Climate v1.0","positive",673.6,738.2,701.825,658.233,639.125,4080,10010,4,2890,2410
"724","Titicaca.Baker.2001","WEBa6153aaf",-69.15,-16.13,"SAM","LakeSediment","diatom","Other","Other (Not Calibrated)",2914,12000,9086,150.5,145,"Annual","P-E","Other","positive",NA,0.683,9.75,68.644,72.338,11732,3965.5,NA,NA,NA
"725","Titicaca.Fornace.2014","WEBf46bc2c2",-69.1601,-15.9368,"SAM","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",284,12000,11716,259.5,260,"Summer","P","Other","negative",-171.3,-173.98,-165.3,-163.233,-130.5,1406,10177,8,3399,575
"726","TLakePalau.Sachs.2018","WEB1f2d5fc5",134.4385,7.3045,"EPO","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",177,10432,10255,177.5,164,"Annual","P","Other","negative",-286.643,-277.333,-299,-320,-311.5,7651,2535,13,2212,490
"727","Tlstahora.Rybnickova.2005","lcRtqapfWlGeedhj31W",17.8886,48.8942,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",0,4550,4550,70,70,"Annual","P","Legacy Climate v1.0","positive",812.154,706.225,NA,NA,NA,450,4470,4,2050,600
